2019-10-21 20:55:59 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,16; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 980.0; Tile: ROAD
2019-10-21 20:55:59 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,17; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 979.0; Tile: ROAD
2019-10-21 20:56:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,18; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 978.0; Tile: ROAD
2019-10-21 20:56:00 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  2,18; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 977.0; Tile: ROAD
2019-10-21 20:56:01 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  2,18; Parcels:      1; Health: 195.0; Health Usage: 200.0; Fuel: 976.0; Tile: ROAD
2019-10-21 20:56:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  1,18; Parcels:      1; Health: 195.0; Health Usage: 200.0; Fuel: 975.0; Tile: ROAD
2019-10-21 20:56:02 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  1,18; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 974.0; Tile: ROAD
2019-10-21 20:56:02 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  1,18; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 974.0; Tile: ROAD
2019-10-21 20:56:03 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  2,18; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 973.0; Tile: ROAD
2019-10-21 20:56:03 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  2,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 972.0; Tile: ROAD
2019-10-21 20:56:04 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  2,16; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 971.0; Tile: ROAD
2019-10-21 20:56:04 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  2,15; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 970.0; Tile: ROAD
2019-10-21 20:56:05 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  2,14; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 969.0; Tile: ROAD
2019-10-21 20:56:05 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  2,13; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 968.0; Tile: ROAD
2019-10-21 20:56:06 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  2,12; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 967.0; Tile: ROAD
2019-10-21 20:56:06 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  3,12; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 966.0; Tile: ROAD
2019-10-21 20:56:07 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  4,12; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 965.0; Tile: ROAD
2019-10-21 20:56:07 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  4,13; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 964.0; Tile: ROAD
2019-10-21 20:56:08 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  4,14; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 963.0; Tile: ROAD
2019-10-21 20:56:08 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  4,15; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 962.0; Tile: ROAD
2019-10-21 20:56:09 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  4,16; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 961.0; Tile: ROAD
2019-10-21 20:56:09 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  4,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 960.0; Tile: ROAD
2019-10-21 20:56:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 959.0; Tile: ROAD
2019-10-21 20:56:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 958.0; Tile: ROAD
2019-10-21 20:56:11 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 957.0; Tile: ROAD
2019-10-21 20:56:11 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 956.0; Tile: ROAD
2019-10-21 20:56:12 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 955.0; Tile: ROAD
2019-10-21 20:56:12 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 954.0; Tile: ROAD
2019-10-21 20:56:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 953.0; Tile: ROAD
2019-10-21 20:56:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,17; Parcels:      1; Health: 190.0; Health Usage: 200.0; Fuel: 952.0; Tile: ROAD
2019-10-21 20:56:14 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 12,17; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-21 20:56:14 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 12,17; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-21 20:56:15 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 12,17; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-21 20:56:15 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 12,17; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-21 20:56:16 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 12,17; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-21 20:56:16 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 12,17; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-21 20:56:17 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 12,18; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 950.0; Tile: ROAD
